번호,품명,제조사,제조사코드,공급업체명,공급업체코드,공급업체번호,원산지,인증,인증번호,도매가(원),소매가(원),차익금(원),대분류,대분류코드,중분류,중분류코드,소분류,소분류코드,속성,속성코드,기본옵션,옵션갯수(개),옵션1,옵션1가격(원),옵션2,옵션2가격(원),옵션3,옵션3가격(원),옵션4,옵션4가격(원),옵션5,옵션5가격(원),보증기간,단종여부,이미지1첨부,이미지2첨부,이미지3첨부,특이사항
P-001,LED 작업등(18V),라이트코,MFG001,한빛유통,PT002,02-111-2222,한국,KC,KC-001,38000,52000,14000,전기/공구,A,조명,A01,작업등,A01-1,전구색,C01,기본,2,추가배터리,15000,자석거-치대,8000,,,,,,,없음,N,Assets/products/PT002/P-001.jpg,,,야외 작업용
P-002,스탠드 조명,라이트코,MFG001,오성상사,PT001,02-222-3333,한국,KC,KC-002,20000,35000,15000,전기/공구,A,조명,A01,스탠드,A01-2,주광색,C02,기본,1,조립비,5000,,,,,,,,,6개월,N,assets/products/PT001/P-002.jpg,,,
P-003,보안경,세이프가드,MFG010,오성상사,PT001,02-222-3333,중국,CE,CE-001,3000,5000,2000,안전/보호구,B,보안,B01,보안경,B01-1,투명,C11,기본,0,,,,,,,,,,,6개월,N,assets/products/PT001/P-003.jpg,,,
P-004,고무장갑 L,세이프가드,MFG010,한영몰,PT008,031-777-8888,말레이시아,,,1200,2500,1300,안전/보호구,B,장갑,B02,고무장갑,B02-1,L,SZL,기본,0,,,,,,,,,,,6개월,N,assets/products/PT008/P-004.jpg,,,
P-005,충전 드릴 18V,툴파워,MFG020,우성테크,PT007,052-123-2222,중국,KC,KC-111,102000,138000,36000,전기/공구,A,전동공구,A11,드릴,A11-1,블루,C31,배터리1개,2,추가배터리,30000,고속충전기,25000,,,,,,,6개월,N,assets/products/PT007/P-005.jpg,,,브러시리스 모터
P-006,드릴 비트 세트(10P),툴파워,MFG020,우성테크,PT007,052-123-2222,중국,,,9000,12000,3000,전기/공구,A,액세서리,A12,드릴비트,A12-1,10pcs,Q10,기본,0,,,,,,,,,,,6개월,N,assets/products/PT007/P-006.jpg,,,
P-007,절연테이프(흑),라이트코,MFG001,명진철물,PT005,042-999-0000,한국,,,600,900,300,자재,C,테이프,C02,절연테이프,C02-1,검정,BLK,기본,0,,,,,,,,,,,6개월,N,assets/products/PT005/P-007.jpg,,,
P-008,멀티탭 4구,라이트코,MFG001,오성상사,PT001,02-222-3333,한국,KC,KC-010,7000,12000,5000,전기/공구,A,전원,A02,멀티탭,A02-4,1.5m,L15,기본,0,,,,,,,,,,,6개월,N,assets/products/PT001/P-008.jpg,,,
P-009,충전식 헤드랜턴,라이트코,MFG001,한빛유통,PT002,02-111-2222,중국,KC,KC-020,29000,45000,16000,전기/공구,A,조명,A01,헤드랜턴,A01-3,6500K,C65,기본,1,추가밴드,3000,,,,,,,,,12개월,N,assets/products/PT002/P-009.jpg,,,
P-010,케이블 타이(100P),파스너,MFG030,다온유통,PT009,043-333-4444,중국,,,1500,2500,1000,자재,C,결속,C10,케이블타이,C10-1,흰색,WH,기본,0,,,,,,,,,,,12개월,N,assets/products/PT009/P-010.jpg,,,
P-011,"산업용 선풍기 18""",라이트코,MFG001,제일상사,PT010,033-222-1111,한국,KC,KC-070,69000,98000,29000,전기/공구,A,기계,A20,선풍기,A20-1,18인치,S18,조립형,1,바퀴세트,15000,,,,,,,,,12개월,N,assets/products/PT010/P-011.jpg,,,대형 박스
P-012,작업복 상의(L),프로워크,MFG040,한영몰,PT008,031-777-8888,베트남,,,18000,32000,14000,안전/보호구,B,작업복,B10,상의,B10-1,L,SZL,기본,0,,,,,,,,,,,12개월,N,assets/products/PT008/P-012.jpg,,,
P-013,작업복 하의(L),프로워크,MFG040,한영몰,PT008,031-777-8888,베트남,,,17000,30000,13000,안전/보호구,B,작업복,B10,하의,B10-2,L,SZL,기본,0,,,,,,,,,,,12개월,N,assets/products/PT008/P-013.jpg,,,
P-014,충전식 그라인더,툴파워,MFG020,우성테크,PT007,052-123-2222,중국,KC,KC-112,120000,168000,48000,전기/공구,A,전동공구,A11,그라인더,A11-2,18V,18V,배터리2개,1,커버,10000,,,,,,,,,24개월,N,assets/products/PT007/P-014.jpg,,,
P-015,볼트/너트 세트(200P),파스너,MFG030,명진철물,PT005,042-999-0000,중국,,,9000,15000,6000,자재,C,패스너,C12,볼트너트,C12-1,200pcs,Q200,기본,0,,,,,,,,,,,24개월,Y,assets/products/PT005/P-015.jpg,,,